search01               | [2026-02-11T15:40:11,180][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-model
search01               | [2026-02-11T15:40:11,180][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Searching [.plugins-ml-model]
search01               | [2026-02-11T15:40:11,182][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Search returned 1 hits hits
search01               | [2026-02-11T15:40:11,293][INFO ][a.d.p.j.LibUtils         ] [search01] Downloading jni https://publish.djl.ai/pytorch/2.5.1/jnilib/0.31.1/linux-x86_64/cpu-precxx11/libdjl_torch.so to cache ...
search01               | [2026-02-11T15:40:12,955][INFO ][a.d.p.e.PtEngine         ] [search01] PyTorch graph executor optimizer is enabled, this may impact your inference latency and throughput. See: https://docs.djl.ai/master/docs/development/inference_performance_optimization.html#graph-executor-optimization
search01               | [2026-02-11T15:40:12,955][INFO ][a.d.p.e.PtEngine         ] [search01] Number of inter-op threads is 1
search01               | [2026-02-11T15:40:12,955][INFO ][a.d.p.e.PtEngine         ] [search01] Number of intra-op threads is 1
search01               | [2026-02-11T15:40:13,182][INFO ][a.d.u.Platform           ] [search01] Found matching platform from: jar:file:/usr/share/opensearch/plugins/opensearch-ml/tokenizers-0.31.1.jar!/native/lib/tokenizers.properties
search01               | [2026-02-11T15:40:13,182][INFO ][a.d.h.t.j.LibUtils       ] [search01] Extracting native/lib/linux-x86_64/cpu/libtokenizers.so to cache ...
search01               | [2026-02-11T15:40:13,405][INFO ][o.o.m.e.a.DLModel        ] [search01] Model p91bTZwB-WdjH_QvWPWf is successfully deployed on 1 devices
search01               | [2026-02-11T15:40:13,432][INFO ][o.o.m.a.MLModelAutoReDeployer] [search01] No models needs to be auto redeployed!
search01               | [2026-02-11T15:40:13,443][INFO ][o.o.m.a.f.TransportForwardAction] [search01] deploy model done with state: DEPLOYED, model id: p91bTZwB-WdjH_QvWPWf
search01               | [2026-02-11T15:40:13,443][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Updating p91bTZwB-WdjH_QvWPWf from .plugins-ml-model
search01               | [2026-02-11T15:40:13,444][INFO ][o.o.m.a.d.TransportDeployModelOnNodeAction] [search01] deploy model task done qN1bTZwB-WdjH_Qv7_Wd
search01               | [2026-02-11T15:40:13,450][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Updating qN1bTZwB-WdjH_Qv7_Wd from .plugins-ml-task
search01               | [2026-02-11T15:40:13,470][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Update status for id qN1bTZwB-WdjH_Qv7_Wd: UPDATED
search01               | [2026-02-11T15:40:13,470][INFO ][o.o.m.t.MLTaskManager    ] [search01] Successfully updated the task with ID: qN1bTZwB-WdjH_Qv7_Wd
search01               | [2026-02-11T15:40:13,485][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Update status for id p91bTZwB-WdjH_QvWPWf: UPDATED
search01               | [2026-02-11T15:40:13,485][INFO ][o.o.m.m.MLModelManager   ] [search01] Successfully updated the model with ID: p91bTZwB-WdjH_QvWPWf
search01               | [2026-02-11T15:40:21,181][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-model
